Feature,Normalized.Dispersion
ENSG00000224621,nan
ENSG00000234166,nan
ENSG00000142632,-0.8720990299262771
ENSG00000288398,1.1237297833587907
ENSG00000132881,0.40708822335063005
ENSG00000037637,1.0922775591144906
ENSG00000055070,0.2081887145712967
ENSG00000187144,-0.3385502026474875
ENSG00000157191,-0.9904738783057795
ENSG00000226029,-1.2430402975730028
ENSG00000261135,-1.0386945061520245
ENSG00000224174,nan
ENSG00000233421,nan
ENSG00000219481,-1.0718580995502338
ENSG00000271732,nan
ENSG00000282143,nan
ENSG00000279151,nan
ENSG00000282740,-1.3181013691222392
ENSG00000058453,-0.7872186141176614
ENSG00000223643,nan
ENSG00000228549,nan
ENSG00000238142,0.05882120697299953
ENSG00000272426,-1.803359158733076
ENSG00000117122,nan
ENSG00000286898,nan
ENSG00000226526,-0.9487065467670313
ENSG00000159363,-0.16228291833002945
ENSG00000117118,0.301312536527103
ENSG00000117115,0.6810629035766039
ENSG00000204362,nan
ENSG00000282843,nan
ENSG00000142623,nan
ENSG00000142619,0.3282199579817163
ENSG00000159339,0.846132959645432
ENSG00000276747,-2.7095342814038594
ENSG00000227751,nan
ENSG00000179051,-1.5207345897832345
ENSG00000074964,-1.3232566978245113
ENSG00000236648,0.9071868756513837
ENSG00000117148,nan
ENSG00000284653,nan
ENSG00000261781,nan
ENSG00000117154,1.146718146718147
ENSG00000230035,nan
ENSG00000225387,nan
ENSG00000179023,nan
ENSG00000009709,22.313681639201146
ENSG00000179002,nan
ENSG00000159423,-1.2540173124000547
ENSG00000169991,7.078360972533144
ENSG00000272084,-0.44167160410923134
ENSG00000127481,-0.4000308605916209
ENSG00000230424,0.13319205006597967
ENSG00000127463,-1.617201733928826
ENSG00000053372,1.1053409330694615
ENSG00000162482,nan
ENSG00000053371,-0.936677903290214
ENSG00000040487,-0.8958931396121735
ENSG00000077549,-1.1712992014197163
ENSG00000173436,0.0658850654651329
ENSG00000235185,-1.4962247746311137
ENSG00000158747,-0.9868070924565391
ENSG00000158748,1.7997073219709738
ENSG00000162542,-0.15233136107223813
ENSG00000178828,nan
ENSG00000235434,nan
ENSG00000169914,-0.09705756959465443
ENSG00000188784,nan
ENSG00000188257,nan
ENSG00000127472,-0.8774966838049221
ENSG00000117215,0.33574874867057586
ENSG00000158786,0.46621621621621695
ENSG00000227066,nan
ENSG00000187980,-1.2904708969366747
ENSG00000225986,nan
ENSG00000162543,1.212587412587409
ENSG00000228105,nan
ENSG00000284710,nan
ENSG00000158816,1.3133217873537164
ENSG00000226664,0.006617982776537571
ENSG00000236963,1.422377622377619
ENSG00000226487,nan
ENSG00000284641,nan
ENSG00000284743,nan
ENSG00000162545,0.2626285395049483
ENSG00000090432,-0.9086534883867655
ENSG00000183114,nan
ENSG00000158825,-0.21979565045491875
ENSG00000158828,-1.3507670858378378
ENSG00000117242,0.7133823700487816
ENSG00000244038,-1.4531319598802066
ENSG00000117245,-1.253246075134836
ENSG00000189410,nan
ENSG00000233069,-1.2036679536679533
ENSG00000127483,-1.3055520139408385
ENSG00000075151,0.1752004819157575
ENSG00000287192,-0.9322182061998426
ENSG00000117298,0.8164980944351241
ENSG00000236936,nan
ENSG00000231105,-0.9598266970545993
ENSG00000236009,nan
ENSG00000142794,-0.3581571160454724
ENSG00000162551,-1.1890889263052127
ENSG00000233431,-4.584942084942084
ENSG00000076864,0.5207476453509265
ENSG00000090686,-1.0077869113686544
ENSG00000187942,-1.3412587412587416
ENSG00000142798,1.1931258924702948
ENSG00000219073,-2.4157668312880336
ENSG00000142789,1.8029110976850977
ENSG00000228397,1.0000451018302872
ENSG00000218510,-0.8448299345452986
ENSG00000070831,-1.4527978657853553
ENSG00000285752,0.42634803854678804
ENSG00000230068,-1.2863791787745733
ENSG00000162552,-1.4119068006928561
ENSG00000285873,1.2702702702702704
ENSG00000184677,-0.5860199090420275
ENSG00000237200,nan
ENSG00000070886,0.5598455598455597
ENSG00000173372,3.411089865770167
ENSG00000159189,-1.2769230769230757
ENSG00000173369,0.7681670131693275
ENSG00000133216,-0.17788155855054147
ENSG00000225952,nan
ENSG00000215906,nan
ENSG00000227868,0.37162162162162166
ENSG00000004487,1.9795283203590568
ENSG00000240553,0.2825111628450172
ENSG00000169641,-0.5361243039873498
ENSG00000179546,nan
ENSG00000261326,0.3541136002682908
ENSG00000284726,-0.6608155729401616
ENSG00000125944,-1.5821861784228313
ENSG00000125945,0.7502761166201614
ENSG00000249087,-0.9158713455186889
ENSG00000271420,2.028824620926433
ENSG00000204219,0.2471112592201877
ENSG00000088280,-0.7125639415390935
ENSG00000007968,-1.776086341855157
ENSG00000235052,7.052262331031564
ENSG00000117318,0.8510298807255084
ENSG00000285802,0.2729310595737262
ENSG00000197880,2.2942641562104202
ENSG00000142676,-0.5756869060077239
ENSG00000236810,0.8804216163931577
ENSG00000011007,8.158270836245094
ENSG00000057757,-0.9116582348081966
ENSG00000011009,9.33136895345593
ENSG00000117308,0.8229126715044742
ENSG00000117305,60.04742228893913
ENSG00000179163,-1.0951758232917264
ENSG00000188822,8.012234652824255
ENSG00000232557,-0.5593910898093283
ENSG00000189266,0.07349668412837466
ENSG00000188529,-1.4309331596966361
ENSG00000225315,nan
ENSG00000142661,1.5580413196054774
ENSG00000230703,nan
ENSG00000142677,nan
ENSG00000185436,16.05287588300903
ENSG00000230023,nan
ENSG00000232298,-1.3310810810810807
ENSG00000158055,nan
ENSG00000001460,2.2598927493479217
ENSG00000001461,2.1824374032973144
ENSG00000286061,1.4604511914840739
ENSG00000117602,1.801753632330138
ENSG00000264443,1.0385671076374763
ENSG00000184454,104.07482672322507
ENSG00000133226,-1.3539031030098823
ENSG00000284699,5.760282426826304
ENSG00000169504,1.2843888842766171
ENSG00000020633,2.2430377425043946
ENSG00000229162,1.128671328671327
ENSG00000261025,nan
ENSG00000285823,nan
ENSG00000233755,3.230688782277148
ENSG00000231953,1.6159245123908401
ENSG00000117614,-0.5069004737993645
ENSG00000284602,-0.0850453755120323
ENSG00000284657,nan
ENSG00000117616,-1.4446015441820526
ENSG00000272432,2.743997698162932
ENSG00000187010,0.9266421726069736
ENSG00000183726,0.37234314796748935
ENSG00000188672,0.563239966809377
ENSG00000204178,0.16225006934064173
ENSG00000157978,0.3683920699950548
ENSG00000225643,1.3550635212771975
ENSG00000117643,1.329988747893346
ENSG00000233478,1.8274414346439374
ENSG00000162430,-1.904451497127824
ENSG00000228172,-0.6273736970761585
ENSG00000117640,-1.3319517560708252
ENSG00000272478,nan
ENSG00000127423,1.3568875512775476
ENSG00000236528,-1.4776140530771065
ENSG00000182749,-0.601002772890295
ENSG00000117632,1.7561098105855442
ENSG00000158006,0.4243586978277109
ENSG00000158008,5.783862231934335
ENSG00000158014,-0.4181818181818184
ENSG00000284309,nan
ENSG00000158022,1.3052847111093915
ENSG00000175087,0.3399200320746607
ENSG00000197245,nan
ENSG00000282872,nan
ENSG00000236782,0.05734265734265518
ENSG00000142684,-1.0932620084813893
ENSG00000142675,0.39720030429215625
ENSG00000188782,0.7335907335907342
ENSG00000130695,1.8495037089878295
ENSG00000142669,1.4763000552557966
ENSG00000158062,-1.7148023156155887
ENSG00000169442,-0.015419045687336416
ENSG00000176092,1.3730692909218025
ENSG00000176083,5.4259339859837326
ENSG00000131914,1.7984714780981184
ENSG00000117682,-0.3688657906976485
ENSG00000225891,0.8437589987356335
ENSG00000198830,-1.4622239154474486
ENSG00000117676,-1.1898101184837546
ENSG00000260063,1.7362864451513815
ENSG00000117713,2.5165186740229135
ENSG00000060642,-1.3157797112096532
ENSG00000204160,-1.050934638530253
ENSG00000175793,nan
ENSG00000142751,-0.8003339248509513
ENSG00000226698,nan
ENSG00000198746,0.5541025303616618
ENSG00000090273,-1.031463422130166
ENSG00000131910,nan
ENSG00000175707,-0.7605211897974792
ENSG00000253368,-2.287377030473381
ENSG00000158246,-2.0318532818532824
ENSG00000090020,-0.4651871162378966
ENSG00000224311,0.8771478871362307
ENSG00000142784,1.858117891259724
ENSG00000186501,-0.9255548572787022
ENSG00000142765,-0.05338580334411098
ENSG00000142733,-0.05394721833729738
ENSG00000142748,1.085488082799262
ENSG00000174950,nan
ENSG00000181773,1.1958041958041938
ENSG00000158195,2.7674457805615673
ENSG00000241169,-1.2354435831631274
ENSG00000237429,1.5814048096616644
ENSG00000126705,0.7497598619052869
ENSG00000000938,-1.4324664732941368
ENSG00000233975,-1.6023166023166013
ENSG00000126709,0.7604632238937256
ENSG00000225886,-1.7014702469766716
ENSG00000287244,-1.018747656693418
ENSG00000009780,0.22654803790398326
ENSG00000117758,-0.2628878329883988
ENSG00000269971,-1.5307142801711338
ENSG00000270031,0.36196911196911197
ENSG00000286433,-1.1320738708941773
ENSG00000117751,-1.0122726138582834
ENSG00000130775,1.4815538072395391
ENSG00000117748,3.461371953067244
ENSG00000130768,-0.8726306206874883
ENSG00000227050,-0.933213204150399
ENSG00000158156,-0.13330616650589844
ENSG00000158161,0.22917782454712476
ENSG00000169403,2.5746770252578326
ENSG00000126698,2.98317792057742
ENSG00000130770,-0.44958345836629376
ENSG00000270605,-0.8609106515220907
ENSG00000271398,-0.06062143186327082
ENSG00000130766,0.15550970765578606
ENSG00000130772,-0.8067273968715447
ENSG00000204138,0.8163962183763877
ENSG00000180198,0.6278300078489758
ENSG00000242125,-0.42699379134813004
ENSG00000180098,-0.3471856841273431
ENSG00000197989,11.362591563842102
ENSG00000120656,-0.6033453428387294
ENSG00000188060,-0.24034749034749037
ENSG00000229388,2.7406589111463666
ENSG00000270103,-1.9009906921868656
ENSG00000162419,-0.8256605999006466
ENSG00000198492,-0.9125864893071056
ENSG00000116329,1.2209790209790186
ENSG00000233427,nan
ENSG00000159023,0.032839386556768345
ENSG00000253304,0.16642933548640984
ENSG00000225750,-0.8402924431930754
ENSG00000116350,0.5104133395381837
ENSG00000116353,1.7534154957358807
ENSG00000237934,1.5743243243243241
ENSG00000060656,0.055527557213266965
ENSG00000230523,nan
ENSG00000228176,nan
ENSG00000284676,-1.7645827779750265
ENSG00000233399,-3.420556101152317
ENSG00000233372,nan
ENSG00000236335,nan
ENSG00000231949,nan
ENSG00000162510,0.5104702195148795
ENSG00000186056,0.06520230593052309
ENSG00000287510,-0.33618883636849
ENSG00000162511,-1.0012005645649864
ENSG00000229607,nan
ENSG00000223382,nan
ENSG00000235143,nan
ENSG00000162512,-1.7085420872006787
ENSG00000134644,-1.2618571444560993
ENSG00000084628,0.5442065769645348
ENSG00000060688,-0.572356011468719
ENSG00000121766,-0.009958674394805649
ENSG00000229044,0.13949058054242067
ENSG00000121769,-0.04051496538276379
ENSG00000168528,-1.950561618180113
ENSG00000284543,0.23695255424673425
ENSG00000229167,nan
ENSG00000142910,nan
ENSG00000121764,-1.4915486858158677
ENSG00000162517,-0.9969079313571951
ENSG00000235790,-0.3133801000708645
ENSG00000264078,-0.48570680530252075
ENSG00000084636,nan
ENSG00000121753,1.616892763699962
ENSG00000254545,nan
ENSG00000134668,-0.3187674899852686
ENSG00000203620,nan
ENSG00000269967,-0.2488432188607164
ENSG00000184007,-1.4011997295654341
ENSG00000228634,-1.606886376065794
ENSG00000284702,-0.09090909090909163
ENSG00000121774,-1.4608507305321685
ENSG00000203325,1.894917313518973
ENSG00000121775,-1.1635814216246814
ENSG00000025800,0.5540303951035018
ENSG00000250135,-0.5371723962639409
ENSG00000084652,-1.014727732877526
ENSG00000160050,0.5037312271838831
ENSG00000224066,1.2775268555064527
ENSG00000160051,5.8743609926973335
ENSG00000222046,-0.19302926165964035
ENSG00000160055,5.880499919704604
ENSG00000084623,11.805607530128952
ENSG00000183615,0.924031819809252
ENSG00000182866,1.92401459202963
ENSG00000116478,-0.3362006659857566
ENSG00000175130,0.052181851152585564
ENSG00000233775,nan
ENSG00000162526,-0.3211529500334584
ENSG00000225828,-0.8785695364977054
ENSG00000160058,0.47206840684196527
ENSG00000273274,0.9749589174045886
ENSG00000160062,-0.005096807137596161
ENSG00000176261,-0.3588686033258288
ENSG00000162521,-1.4845536423274468
ENSG00000162520,0.6379483097838252
ENSG00000224409,0.27832167832167687
ENSG00000162522,-0.10686399414491661
ENSG00000134684,0.6310100060103015
ENSG00000116497,-0.32372307597137556
ENSG00000160097,-0.4576228191171763
ENSG00000121905,nan
ENSG00000121900,nan
ENSG00000287691,18.56574650560671
ENSG00000116514,0.6505391716752034
ENSG00000236065,1.1977634114210454
ENSG00000004455,-1.352981529801442
ENSG00000142920,-0.8643381382511359
ENSG00000116525,0.705333280445273
ENSG00000284721,0.30764792201422886
ENSG00000160094,-0.41427978323182335
ENSG00000270115,-1.384169884169884
ENSG00000184389,-1.1645426772596634
ENSG00000225313,0.9280761283677368
ENSG00000134686,-1.1188748317990356
ENSG00000233246,-0.8945894757037036
ENSG00000121903,-1.2244101659139155
ENSG00000121904,0.05855625734513951
ENSG00000176256,nan
ENSG00000231163,0.9547794742924727
ENSG00000142698,nan
ENSG00000287703,-0.07692307692307891
ENSG00000163866,1.0924771416694752
ENSG00000189280,nan
ENSG00000189433,nan
ENSG00000255811,nan
ENSG00000188910,2.1175788498639907
ENSG00000187513,nan
ENSG00000230163,nan
ENSG00000116544,0.9090795753328073
ENSG00000243749,-0.268382738369634
ENSG00000163867,-0.9430702502352951
ENSG00000197056,-0.24003342877281034
ENSG00000284640,nan
ENSG00000116560,-1.8276081202662866
ENSG00000146463,-0.9251778770990591
ENSG00000227409,-0.2318063451111512
ENSG00000142687,2.8583213028679864
ENSG00000020129,-0.516746687435169
ENSG00000239636,-1.0792532542278017
ENSG00000116819,-0.21613744915425462
ENSG00000126067,4.1963024573083825
ENSG00000142686,-1.3800257431584957
ENSG00000092853,3.0389778529071987
ENSG00000232335,0.5832167832167826
ENSG00000134698,-0.03629740108864754
ENSG00000092847,-1.8893325371711966
ENSG00000286899,1.943164212508106
ENSG00000271914,0.16083916083915825
ENSG00000126070,5.635476714570789
ENSG00000271554,0.10698867599344317
ENSG00000092850,nan
ENSG00000116863,-0.09796184269551499
ENSG00000171812,-2.1157391827431384
ENSG00000054116,46.133020633966666
ENSG00000116871,-1.635636513811566
ENSG00000054118,-0.6294093776718085
ENSG00000214193,0.8204795540371647
ENSG00000142694,-2.1847029454541413
ENSG00000286379,nan
ENSG00000196182,-0.634514721560109
ENSG00000181817,-1.4626048831361373
ENSG00000116885,-1.2347847528684053
ENSG00000116898,-1.0864771531301074
ENSG00000119535,2.725769841010113
ENSG00000284705,nan
ENSG00000284720,nan
ENSG00000234481,nan
ENSG00000163873,-1.115963097934147
ENSG00000284650,nan
ENSG00000223944,0.24276681919327217
ENSG00000233621,0.14535979283290895
ENSG00000163874,-0.6998768380604222
ENSG00000163875,0.04045573498152582
ENSG00000163877,-0.47202668404154097
ENSG00000163879,-2.133204633204632
ENSG00000134697,5.5857149498490655
ENSG00000284748,-0.04547433952624815
ENSG00000169218,1.9304231931913145
ENSG00000116922,0.17562869829822264
ENSG00000134690,-1.265466283518339
ENSG00000183317,1.9402492156489075
ENSG00000185090,3.9550873263974258
ENSG00000233728,nan
ENSG00000196449,-1.0923256932214087
ENSG00000197982,-0.7445401553640428
ENSG00000188786,1.0525088281288915
ENSG00000230955,0.9613592737145915
ENSG00000204084,1.9296966886233538
ENSG00000183431,-1.2899007735266501
ENSG00000183386,-1.3981963045974903
ENSG00000183520,-0.9501697313276088
ENSG00000185668,1.3719637192601397
ENSG00000224592,-0.07826275985531105
ENSG00000284623,nan
ENSG00000286552,nan
